project_id,no,project_name,company_name,status,manager_email,date,deadline,budget_type
"65","230300","Vacations","Estipona Group","inprogress","chelsey@estiponagroup.com","2023-03-14","0000-00-00","—"
"116","230350","NDOT Hispanic Outreach","Nevada Department of Transportation","inprogress","chelsey@estiponagroup.com","2023-03-28","0000-00-00","simple"
"363","230414","2024 – 2025 Annual Report","Nevadaworks","inprogress","nicole@estiponagroup.com","2023-04-24","0000-00-00","quote"
"508","230556","Digital Intelligence Guild","Estipona Group","inprogress","ali@estiponagroup.com","2023-09-12","0000-00-00","quote"
"672","240106","NSRRM Boulder City FY25","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2024-07-01","2025-09-01","quote"
"673","240107","NSRRM Carson City FY25","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2024-07-01","2025-09-01","quote"
"674","240108","NSM Las Vegas FY25","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2024-07-01","2025-09-01","quote"
"675","240109","NSM Carson City FY25","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2024-07-01","2025-09-01","quote"
"680","240114","NAC FY25","Nevada Department of Tourism & Cultural Affairs","inprogress","nicole@estiponagroup.com","2024-07-01","2025-06-30","quote"
"716","240148","Janice Baker Onboarding","Estipona Group","inprogress","ali@estiponagroup.com","2024-12-03","0000-00-00","simple"
"733","250014","VC 2025 Website Maintenance Retainer","Vigilant Controls","inprogress","chelsey@estiponagroup.com","2025-01-01","2025-12-31","—"
"740","250021","Cultural Corridor Website","Visit Carson City","inprogress","ali@estiponagroup.com","2024-12-09","2026-10-08","quote"
"746","250027","SVH 2025 Retainer","Silverado Homes","inprogress","chelsey@estiponagroup.com","2025-01-03","2025-12-31","—"
"751","250032","NUI Campaign: Campaign Creation / Management","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-01-06","2025-10-31","quote"
"759","250040","EmployNV: Website Redesign","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-01-28","0000-00-00","quote"
"761","250042","EmployNV: Paid Social Media","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-01-28","0000-00-00","quote"
"762","250043","EmployNV: Programmatic Advertising","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-01-28","0000-00-00","quote"
"763","250044","EmployNV: Public Relations","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-01-28","0000-00-00","quote"
"764","250045","EmployNV: Outdoor Advertising","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-01-28","0000-00-00","quote"
"765","250046","EmployNV: Out-of-Home","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-01-28","0000-00-00","quote"
"766","250047","EmployNV: SEO & Analytics","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-01-28","0000-00-00","quote"
"767","250048","EmployNV: Paid Search","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-01-28","0000-00-00","quote"
"772","250053","Nevada Employee Savings Trust Program Branding","Nevada State Treasurer Office","inprogress","nicole@estiponagroup.com","2025-01-17","0000-00-00","quote"
"773","250054","EmployNV: Brand Guidelines","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-02-13","0000-00-00","simple"
"774","250055","NUI Campaign: How-to Videos","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-02-14","0000-00-00","simple"
"775","250056","NUI Campaign: Content Marketing","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-02-14","0000-00-00","simple"
"777","250057","RNL Art Designs","J Resort","inprogress","nicole@estiponagroup.com","2025-01-23","0000-00-00","quote"
